City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hermanus,-34.4187,19.2345,66.0,81,40,7.78,ZA,1610218875
George Town,5.4112,100.3354,80.6,78,20,5.75,MY,1610218876
George Town,5.4112,100.3354,80.6,78,20,5.75,MY,1610218876
Marabu,4.4148,114.0089,77.0,94,40,4.61,MY,1610218879
Bredasdorp,-34.5322,20.0403,69.8,64,23,12.66,ZA,1610218880
Usinsk,65.9939,57.5281,-9.58,90,21,8.37,RU,1610218881
Kang,-23.6752,22.7876,80.13,48,19,4.16,BW,1610218882
La Ronge,55.1001,-105.2842,6.8,85,0,2.3,CA,1610218884
Butaritari,3.0707,172.7902,81.48,79,94,20.51,KI,1610218885
Saint George,37.1041,-113.5841,52.0,39,1,5.75,US,1610218690
Cherskiy,68.75,161.3,-27.45,85,97,3.96,RU,1610218888
Saldanha,-33.0117,17.9442,68.0,68,0,14.97,ZA,1610218889
San Quintín,30.4833,-115.95,63.45,55,0,8.77,MX,1610218890
Monchegorsk,67.9397,32.8739,-2.16,92,74,5.17,RU,1610218891
Gisborne,-38.6533,178.0042,64.99,86,40,1.99,NZ,1610218892
Tuktoyaktuk,69.4541,-133.0374,6.8,85,75,9.22,CA,1610218894
Vao,-22.6667,167.4833,77.95,88,100,17.58,NC,1610218895
Pevek,69.7008,170.3133,-23.04,88,14,2.57,RU,1610218896
Mt. Pleasant,32.7941,-79.8626,52.0,66,75,10.36,US,1610218897
Yangi Marg`ilon,40.4272,71.7189,21.2,79,0,4.61,UZ,1610218898
Tabou,4.423,-7.3528,80.06,80,14,7.2,CI,1610218900
Pataias,39.6698,-8.9958,42.8,61,40,3.44,PT,1610218901
Kantunilkín,21.0917,-87.45,75.2,57,40,13.8,MX,1610218902
Cayenne,4.9333,-52.3333,80.6,94,75,11.5,GF,1610218903
Batagay-Alyta,67.8006,130.4114,-22.52,85,100,3.83,RU,1610218904
Aloleng,16.1307,119.7824,74.41,72,48,8.75,PH,1610218906
Mayor Pablo Lagerenza,-19.9309,-60.7718,101.28,28,11,14.29,PY,1610218907
Pozo Colorado,-23.4923,-58.7972,94.78,43,97,5.19,PY,1610218908
Sayansk,54.1088,102.1648,-9.06,88,100,1.92,RU,1610218909
Sādri,25.1833,73.4333,62.19,66,2,5.3,IN,1610218911
Ribeira Grande,38.5167,-28.7,59.0,58,75,14.97,PT,1610218912
Humaitá,-7.5061,-63.0208,82.96,79,100,5.3,BR,1610218913
Narsaq,60.9167,-46.05,41.0,38,75,23.02,GL,1610218914
Santa Rosa,14.3122,121.1114,77.0,73,75,1.14,PH,1610218915
Talaya,61.3833,152.75,-24.7,83,100,3.49,RU,1610218917
Port Blair,11.6667,92.75,79.93,80,86,10.69,IN,1610218918
Nioro,13.35,-15.75,86.77,23,0,8.81,GM,1610218919
Marawi,7.9986,124.2928,75.0,93,94,5.01,PH,1610218920
Bayangol,50.6977,103.4656,-14.75,84,94,2.8,RU,1610218922
Umluj,25.0213,37.2685,75.69,59,0,5.41,SA,1610218923
Vacaria,-28.5122,-50.9339,89.01,14,1,3.36,BR,1610218924
Calama,-22.4667,-68.9333,75.2,19,0,25.32,CL,1610218629
Yellowknife,62.456,-114.3525,10.4,85,75,6.91,CA,1610218809
Port Elizabeth,-33.918,25.5701,71.6,88,40,17.27,ZA,1610218928
Fortuna,40.5982,-124.1573,53.01,81,1,6.91,US,1610218929
Batticaloa,7.7102,81.6924,75.16,90,99,8.93,LK,1610218930
Touros,-5.1989,-35.4608,86.0,58,40,16.11,BR,1610218931
Phalaborwa,-23.943,31.1411,78.8,78,89,3.44,ZA,1610218866
Urengoy,65.9667,78.3667,-9.89,90,100,6.06,RU,1610218934
Namtsy,62.7161,129.6658,-47.2,59,100,3.8,RU,1610218935
Kaitangata,-46.2817,169.8464,53.01,87,18,4.0,NZ,1610218937
Songea,-10.6833,35.65,69.8,88,40,3.09,TZ,1610218938
Castro,-24.7911,-50.0119,74.95,86,95,6.24,BR,1610218939
Vysokogornyy,50.1167,139.15,-27.47,83,96,3.44,RU,1610218940
Nantucket,41.2835,-70.0995,34.0,80,90,17.27,US,1610218918
Airai,-8.9266,125.4092,62.35,100,100,0.13,TL,1610218943
Itaituba,-4.2761,-55.9836,89.6,62,40,4.61,BR,1610218944
Sorong,-0.8833,131.25,81.45,79,57,6.31,ID,1610218945
Granada,37.1882,-3.6067,41.0,70,20,6.91,ES,1610218946
Arraial do Cabo,-22.9661,-42.0278,86.0,70,20,11.5,BR,1610218805
Saint-Médard-en-Jalles,44.8969,-0.7214,37.4,70,0,13.8,FR,1610218949
Makkah al Mukarramah,21.4267,39.8261,73.69,67,0,1.54,SA,1610218950
Kaniama,-7.5667,24.1833,64.26,92,50,1.16,CD,1610218951
Smithers,54.7804,-127.1743,17.6,93,75,3.44,CA,1610218796
Nouadhibou,20.931,-17.0347,68.0,64,0,20.71,MR,1610218954
Kavieng,-2.5744,150.7967,81.84,76,97,9.84,PG,1610218955
Khatanga,71.9667,102.5,-29.22,86,95,2.08,RU,1610218956
Dalbandin,28.8947,64.4101,38.07,56,0,5.86,PK,1610218957
Conde,-7.2597,-34.9075,84.2,70,75,10.36,BR,1610218958
Kemin,42.7846,75.6892,21.43,67,0,9.95,KG,1610218960
Clyde River,70.4692,-68.5914,1.4,78,75,8.05,CA,1610218961
Rosário Oeste,-14.8361,-56.4275,98.44,38,7,2.62,BR,1610218962
Marsabit,2.3284,37.9899,69.73,45,7,6.24,KE,1610218963
Codrington,-38.2667,141.9667,55.54,82,0,6.26,AU,1610218964
Caucaia,-3.7361,-38.6531,86.0,66,40,13.8,BR,1610218686
Slave Lake,55.2834,-114.769,5.0,85,0,6.91,CA,1610218801
Richards Bay,-28.783,32.0377,73.67,77,0,9.4,ZA,1610218682
Rūdbār,30.15,62.6,37.18,58,0,0.4,AF,1610218878
Tocopilla,-22.092,-70.1979,73.67,56,49,10.04,CL,1610218816
Acoyapa,11.9703,-85.1711,86.0,58,40,6.91,NI,1610218972
Fairbanks,64.8378,-147.7164,1.4,85,75,3.8,US,1610218805
Tselinnoye,53.0833,85.6667,-2.0,88,100,8.86,RU,1610218974
Serebryanyy Bor,56.8,124.8,-10.86,88,100,8.21,RU,1610218975
Hasaki,35.7333,140.8333,24.8,80,20,2.3,JP,1610218977
Udachny,66.4167,112.4,-25.78,84,100,5.7,RU,1610218869
Shahr-e Kord,32.3256,50.8644,19.4,42,0,4.61,IR,1610218979
Ghanzi,-21.5667,21.7833,79.34,59,58,5.03,BW,1610218980
Bethel,41.3712,-73.414,30.99,51,20,16.11,US,1610218981
Port Alfred,-33.5906,26.891,73.99,90,57,5.01,ZA,1610218982
Lukaya,-0.1489,31.8748,69.78,76,100,6.89,UG,1610218984
Pangnirtung,66.1451,-65.7125,6.8,56,90,0.65,CA,1610218985
Mokhotlong,-29.2894,29.0675,60.75,73,68,2.3,LS,1610218986
Agadez,19.75,10.25,71.92,20,0,5.55,NE,1610218987
Ранковце,42.1696,22.1162,37.4,87,90,4.61,MK,1610218989
Aykhal,66.0,111.5,-28.39,83,98,7.63,RU,1610218990
Provideniya,64.3833,-173.3,-7.82,83,0,7.16,RU,1610218991
Saskylakh,71.9167,114.0833,-20.72,86,100,10.71,RU,1610218992
Yorosso,12.3536,-4.7761,82.0,14,0,1.97,ML,1610218993
New Norfolk,-42.7826,147.0587,55.0,69,16,2.53,AU,1610218995
Los Llanos de Aridane,28.6585,-17.9182,60.8,59,20,10.36,ES,1610218996
Chāndbāli,20.7833,86.7667,68.94,75,0,5.66,IN,1610218997
Seydişehir,37.4193,31.8453,43.02,75,100,3.58,TR,1610218998
Tiksi,71.6872,128.8694,-18.24,88,100,7.99,RU,1610219000
Geraldton,-28.7667,114.6,73.4,83,73,8.05,AU,1610219001
Hinton,53.4001,-117.5857,23.0,86,47,2.3,CA,1610219002
Praia,14.9215,-23.5087,73.4,64,75,24.16,CV,1610219003
Amga,60.8953,131.9608,-33.39,81,100,1.48,RU,1610219005
Hong Kong,22.2855,114.1577,55.0,40,91,11.41,HK,1610218729
Dīdwāna,27.4,74.5667,59.45,47,0,8.25,IN,1610219007
Dunedin,-45.8742,170.5036,53.74,73,15,4.41,NZ,1610219008
Bara,10.3744,10.7288,78.21,18,0,8.84,NG,1610219010
Okhotsk,59.3833,143.3,-13.22,84,100,9.46,RU,1610219011
Faanui,-16.4833,-151.75,81.07,71,5,13.02,PF,1610219012
Norman Wells,65.282,-126.8329,3.2,85,75,3.44,CA,1610219013
Caravelas,-17.7125,-39.2481,83.41,67,0,12.75,BR,1610219014
Kudahuvadhoo,2.6708,72.8944,81.46,77,100,9.82,MV,1610219016
Carnarvon,-24.8667,113.6333,80.6,74,87,13.8,AU,1610219017
Kautokeino,69.0125,23.0412,3.88,93,100,13.78,NO,1610219018
Ürümqi,43.801,87.6005,-2.2,84,89,1.95,CN,1610219019
Rurrenabaque,-14.4413,-67.5278,93.2,62,40,6.91,BO,1610219021
Sete Lagoas,-19.4658,-44.2467,86.0,58,75,3.44,BR,1610219023
Mussomeli,37.5778,13.7513,55.0,97,100,4.79,IT,1610219024
Malindi,-3.2175,40.1191,77.97,83,54,12.3,KE,1610219025
Kiryat Gat,31.61,34.7642,62.01,64,24,1.03,IL,1610219026
Kortkeros,61.8106,51.5806,14.0,92,90,4.47,RU,1610219028
Oktyabr'skoye,43.0645,44.7417,32.0,86,99,6.71,RU,1610219029
Wolfeboro,43.584,-71.2073,32.0,55,20,6.91,US,1610219030
Deputatsky,69.3,139.9,-19.95,89,100,2.48,RU,1610219031
Wilmington,34.2257,-77.9447,51.01,46,1,13.8,US,1610218812
Vila Velha,-20.3297,-40.2925,89.01,70,20,19.57,BR,1610219034
Phayao,19.25,100.25,62.67,66,22,3.04,TH,1610219035
Maceió,-9.6658,-35.7353,86.0,62,0,9.22,BR,1610219036
Hibbing,47.4272,-92.9377,25.0,93,90,6.91,US,1610219038
Santa Marta,11.2408,-74.199,87.01,67,93,4.0,CO,1610218780
Redlands,34.0556,-117.1825,66.0,25,1,3.8,US,1610218753
Chokurdakh,70.6333,147.9167,-26.3,87,100,1.97,RU,1610219041
Safford,32.834,-109.7076,54.0,19,1,4.61,US,1610218793
Carroll,39.5501,-77.0164,42.01,33,1,10.36,US,1610219044
Angoche,-16.2325,39.9086,82.42,77,100,7.92,MZ,1610219045
Srednekolymsk,67.45,153.6833,-29.04,83,69,4.68,RU,1610219046
Champerico,14.3,-91.9167,87.8,55,40,6.91,GT,1610219047
Vardø,70.3705,31.1107,22.33,93,100,14.27,NO,1610219049
Inhambane,-23.865,35.3833,80.6,69,40,2.3,MZ,1610219050
Lieksa,63.3167,30.0167,2.37,94,77,6.35,FI,1610219051
Ilo,-17.6394,-71.3375,75.2,69,0,11.5,PE,1610219052
Lavrentiya,65.5833,-171.0,-12.62,85,0,4.09,RU,1610219054
Mahébourg,-20.4081,57.7,78.8,94,75,11.5,MU,1610219055
Ayan,56.45,138.1667,-8.01,79,100,6.31,RU,1610219056
Pacific Grove,36.6177,-121.9166,57.99,71,1,3.44,US,1610219057
Woodward,36.4337,-99.3904,37.4,87,90,8.05,US,1610219059
Balabac,7.9868,117.0645,81.82,80,100,22.44,PH,1610219060
Esperance,-33.8667,121.9,77.0,41,100,16.11,AU,1610219061
Kieta,-6.2167,155.6333,79.63,74,100,1.81,PG,1610219062
Avera,33.194,-82.5271,48.2,65,90,6.91,US,1610219064
São Filipe,14.8961,-24.4956,73.4,74,3,18.72,CV,1610219065
Ponta do Sol,32.6667,-17.1,53.01,73,62,3.0,PT,1610219066
Mana,5.6592,-53.7767,79.65,85,100,13.29,GF,1610219067
Neiafu,-18.65,-173.9833,80.6,83,40,11.5,TO,1610219069
Saint-Philippe,-21.3585,55.7679,78.8,89,75,18.41,RE,1610219070
Biryusinsk,55.9634,97.8235,0.84,91,100,4.94,RU,1610219071
Houndé,11.5,-3.5167,85.15,13,0,3.8,BF,1610219072
Kailua,21.4022,-157.7394,73.4,83,20,3.44,US,1610219073
Ilhabela,-23.7781,-45.3581,79.7,83,67,6.33,BR,1610219075
Ekhabi,53.5102,142.9671,-20.34,88,61,8.52,RU,1610219076
Tūkrah,32.5341,20.5791,68.7,45,0,9.46,LY,1610219077
Bathsheba,13.2167,-59.5167,84.2,70,40,18.41,BB,1610219078
Dinguiraye,11.3,-10.7167,82.02,17,100,1.54,GN,1610219080
Hofn,64.2539,-15.2082,20.14,81,0,11.88,IS,1610219081
Batemans Bay,-35.7167,150.1833,57.99,95,0,1.01,AU,1610219082
Sarangani,5.4033,125.4636,81.72,76,4,6.33,PH,1610219083
Pisco,-13.7,-76.2167,75.2,73,0,13.8,PE,1610219084
Katherine,-14.4667,132.2667,80.6,78,100,5.75,AU,1610219086
Meïganga,6.5167,14.3,73.36,21,100,7.09,CM,1610219087
Bereda,43.2686,-7.5406,37.0,99,100,14.0,ES,1610219088
Rianxo,42.6498,-8.8176,46.0,59,100,8.01,ES,1610219089
Oddur,4.1213,43.8894,76.06,30,0,13.6,SO,1610219091
Punta de Bombón,-17.1717,-71.7931,73.31,70,90,8.61,PE,1610219092
Lagoa,39.05,-27.9833,56.01,58,100,5.41,PT,1610219093
Luau,-10.7073,22.2247,66.11,96,99,4.54,AO,1610219094
Broome,42.2506,-75.833,32.0,43,20,14.97,US,1610219096
Phan Thiet,10.9333,108.1,69.24,81,77,11.56,VN,1610219097
Tuatapere,-46.1333,167.6833,52.0,91,100,1.99,NZ,1610219098
Souillac,-20.5167,57.5167,78.8,94,75,11.5,MU,1610219099
Saint-Pierre,-21.3393,55.4781,78.8,89,75,18.41,RE,1610219100
Anloga,5.7947,0.8973,82.4,78,20,11.5,GH,1610219102
Chapais,49.7834,-74.8492,15.8,92,90,10.36,CA,1610219104
Berlevåg,70.8578,29.0864,16.88,93,27,16.15,NO,1610219105
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,96.01,39,35,1.99,AR,1610219106
Sabzawār,36.2126,57.6819,34.11,62,0,0.34,IR,1610219107
Cap Malheureux,-19.9842,57.6142,79.0,84,0,3.0,MU,1610219109
Port Hardy,50.6996,-127.4199,42.8,75,90,27.63,CA,1610219110
Nikolskoye,59.7035,30.7861,8.01,85,0,6.71,RU,1610219111
Belmonte,-15.8631,-38.8828,84.2,79,75,11.5,BR,1610219112
Sechura,-5.5569,-80.8222,80.67,55,18,14.67,PE,1610219114
Severo-Kuril'sk,50.6789,156.125,20.73,86,93,10.18,RU,1610219115
Antalaha,-14.9003,50.2788,76.08,86,4,4.05,MG,1610219116
Kemijärvi,66.7131,27.4306,2.14,93,83,3.96,FI,1610219117
Río Gallegos,-51.6226,-69.2181,62.6,34,40,11.5,AR,1610219118
Moroni,-11.7022,43.2551,80.91,78,70,12.15,KM,1610219120
Santos Dumont,-21.4567,-43.5525,71.6,83,40,4.61,BR,1610218921
Tieling,42.2931,123.8414,3.49,88,100,4.85,CN,1610219122
Lithakia,37.7167,20.8333,64.4,94,75,8.05,GR,1610219123
Kofelē,7.0667,38.7833,50.68,74,2,2.98,ET,1610219124
Esso,55.9333,158.7,5.32,88,100,3.89,RU,1610219126
Mount Isa,-20.7333,139.5,77.0,53,0,5.75,AU,1610219001
East London,-33.0153,27.9116,77.0,69,0,17.27,ZA,1610219114
Rocha,-34.4833,-54.3333,76.66,41,100,11.45,UY,1610219130
Comodoro Rivadavia,-45.8667,-67.5,71.6,24,75,24.16,AR,1610219130
Soubre,5.7856,-6.6083,78.78,78,43,5.79,CI,1610219132
Iquique,-20.2208,-70.1431,75.2,57,0,17.27,CL,1610219133
Itarema,-2.9248,-39.9167,85.05,60,13,16.78,BR,1610219135
Lerwick,60.1545,-1.1494,39.2,65,75,25.32,GB,1610219136
Freeport,40.6576,-73.5832,37.99,44,1,10.36,US,1610218953
Ilulissat,69.2167,-51.1,21.2,42,40,20.71,GL,1610219130
Kui Buri,12.0828,99.8543,73.36,74,0,5.39,TH,1610219139
Maniitsoq,65.4167,-52.9,23.41,83,99,12.86,GL,1610219141
Nadym,65.5333,72.5167,-8.01,91,87,4.85,RU,1610219142
Alice,27.7523,-98.0697,57.2,58,90,8.05,US,1610219143
Waingapu,-9.6567,120.2641,80.17,77,100,2.08,ID,1610219144
Kushima,31.4583,131.2333,30.0,80,1,8.99,JP,1610219146
Chermoz,58.787,56.1489,1.81,93,90,5.95,RU,1610219147
Carson City,39.1638,-119.7674,37.0,59,1,1.41,US,1610218868
Boyolangu,-8.1181,111.8935,75.85,87,100,2.55,ID,1610219149
Polunochnoye,60.8697,60.4153,-13.61,90,97,4.36,RU,1610219151
Maposeni,-10.5833,35.4,69.8,88,40,4.45,TZ,1610219152
Auki,-8.7676,160.7034,78.06,83,100,2.84,SB,1610219153
Rawson,-43.3002,-65.1023,78.46,19,32,18.63,AR,1610219154
Praia da Vitória,38.7333,-27.0667,57.2,72,20,4.29,PT,1610219155
Lake Shasta,40.6804,-122.3708,55.0,40,100,1.01,US,1610219157
Emerald,-23.5333,148.1667,66.2,100,90,13.8,AU,1610219158
Galle,6.0367,80.217,75.36,89,100,3.91,LK,1610219159
Chui,-33.6971,-53.4616,73.15,55,100,11.63,UY,1610219160
Petukhovo,55.0692,67.9019,9.36,95,100,12.26,RU,1610219161
Chara,56.9064,118.2631,-12.8,75,91,3.74,RU,1610219108
Mastic Beach,40.7668,-72.8521,36.0,44,1,10.36,US,1610219164
Mayo,38.8876,-76.5119,45.0,33,1,13.8,US,1610219165
Guerrero Negro,27.9769,-114.0611,68.99,45,0,7.29,MX,1610219166
Adré,13.4667,22.2,70.23,21,0,13.49,TD,1610219167
Ust-Kuyga,70.0167,135.6,-20.4,85,100,4.03,RU,1610219169
Maningrida,-12.0667,134.2667,79.63,84,100,6.46,AU,1610219170
Los Andes,-32.8337,-70.5983,82.99,66,84,3.0,CL,1610219171
Bonoua,5.2741,-3.595,82.4,89,0,9.22,CI,1610219172
Huarmey,-10.0681,-78.1522,76.17,67,3,12.15,PE,1610219173
Ugoofaaru,5.6667,73.0,82.4,71,75,6.4,MV,1610219175
Vostok,46.4856,135.8833,-19.53,87,100,3.65,RU,1610219176
Xuzhou,34.1805,117.1571,27.63,68,100,2.21,CN,1610219177
Jacqueville,5.2052,-4.4146,82.4,89,0,9.22,CI,1610219178
Porbandar,21.6422,69.6093,67.33,51,5,13.27,IN,1610219180
Isil'kul',54.9109,71.2728,12.92,96,100,12.8,RU,1610219181
Charters Towers,-20.1,146.2667,71.94,88,100,12.66,AU,1610219182
Altamont,42.2068,-121.7372,30.0,100,90,4.25,US,1610219110
Portland,45.5234,-122.6762,45.0,75,75,4.03,US,1610219116
São João da Barra,-21.6403,-41.0511,86.0,66,20,16.11,BR,1610219118
Mineiros,-17.5694,-52.5511,85.53,58,100,3.36,BR,1610219187
Hellín,38.5106,-1.701,39.0,100,90,5.75,ES,1610219155
Intipucá,13.1969,-88.0544,91.4,40,0,3.44,SV,1610219189
Alyangula,-13.8483,136.4192,78.8,100,75,2.3,AU,1610219135
Gizo Government Station,-8.103,156.8419,83.41,73,90,7.63,SB,1610219192
Vila Franca do Campo,37.7167,-25.4333,53.6,58,20,6.91,PT,1610219193
Torbay,47.6666,-52.7314,36.0,86,90,19.57,CA,1610219116
Baltay,52.4652,46.6308,35.35,96,100,10.36,RU,1610219195
Sinnamary,5.3833,-52.95,79.57,85,100,14.72,GF,1610219197
Camacha,33.0833,-16.3333,57.2,54,40,24.16,PT,1610219198
Manyana,-23.4,21.7167,72.23,75,99,13.24,BW,1610219199
Vaitape,-16.5167,-151.75,81.09,71,0,12.93,PF,1610219201
Sura,53.8879,45.7419,31.06,98,100,10.04,RU,1610219202
Moscow,55.7522,37.6156,21.99,86,90,11.18,RU,1610219098
Bandarbeyla,9.4942,50.8122,74.25,72,4,25.26,SO,1610219204
Alto de La Estancia,8.6,-80.1667,86.0,62,40,12.66,PA,1610219206
Mount Gambier,-37.8333,140.7667,51.8,100,0,3.96,AU,1610219207
Ahipara,-35.1667,173.1667,65.12,85,96,5.68,NZ,1610219208
San Patricio,28.017,-97.5169,55.4,67,90,9.22,US,1610219209
Nelson Bay,-32.7167,152.15,62.01,100,75,4.61,AU,1610219210
Francavilla Fontana,40.5306,17.5852,51.01,87,75,3.44,IT,1610219212
Valley City,46.9233,-98.0032,30.2,100,90,5.75,US,1610219213
Seoul,37.5683,126.9778,5.0,72,0,2.3,KR,1610219048
Kinablangan,7.6947,126.5503,78.15,77,1,4.7,PH,1610219215
Bertoua,4.5833,13.6833,74.35,30,100,0.29,CM,1610219216
Fort Dodge,42.4975,-94.168,21.2,86,90,5.75,US,1610219056
Dongsheng,39.8161,109.9776,3.38,75,5,8.86,CN,1610219219
Husavik,66.0449,-17.3389,24.8,74,90,6.91,IS,1610219220
Qui Nhon,13.7667,109.2333,70.47,85,99,19.46,VN,1610218928
Lorengau,-2.0226,147.2712,81.43,69,100,3.91,PG,1610219222
Agen,44.2,0.6333,35.6,75,0,4.61,FR,1610219224
Cabo San Lucas,22.8909,-109.9124,75.0,46,1,9.22,MX,1610219225
Tarata,-17.6167,-66.0167,75.2,38,40,3.44,BO,1610219226
Hamilton,39.1834,-84.5333,35.01,64,75,3.78,US,1610219227
Ancud,-41.8697,-73.8203,59.0,87,75,13.8,CL,1610219229
Nuevitas,21.5453,-77.2644,77.0,65,75,13.8,CU,1610219230
Adelaide,-34.9333,138.6,71.6,53,0,4.61,AU,1610219121
Upernavik,72.7868,-56.1549,9.91,82,10,11.12,GL,1610219232
Bauchi,10.5,10.0,76.86,19,70,5.35,NG,1610219044
Vallenar,-28.5708,-70.7581,87.33,20,0,11.86,CL,1610219235
Salinópolis,-0.6136,-47.3561,83.71,72,86,11.61,BR,1610218972
Baykit,61.67,96.37,-5.91,87,100,2.64,RU,1610219237
Znamenskoye,57.1281,73.8282,3.58,95,100,3.29,RU,1610219238
Ponta Delgada,37.7333,-25.6667,53.6,58,20,6.91,PT,1610219240
Margate,51.3813,1.3862,37.0,98,0,7.18,GB,1610219164
Makassar,-5.14,119.4221,75.2,100,20,4.61,ID,1610219242
Turinsk,58.0458,63.696,-1.66,93,99,6.2,RU,1610219243
Jiayuguan City,39.8167,98.3,6.15,86,100,4.83,CN,1610219244
Aykino,62.2248,49.9922,2.23,94,84,5.19,RU,1610219246
Verkhnyaya Inta,65.9811,60.3094,-3.8,89,0,8.23,RU,1610219247
Camocim,-2.9022,-40.8411,85.95,60,92,21.36,BR,1610219105
Lincoln,40.8,-96.667,30.99,80,90,5.37,US,1610219249
Babu,24.4167,111.5167,42.85,53,100,5.3,CN,1610219250
